Episode,Reward
0,100.0
1,25.0
2,125.0
3,50.0
4,25.0
5,75.0
6,150.0
7,125.0
8,50.0
9,175.0
10,125.0
11,100.0
12,175.0
13,175.0
14,575.0
15,150.0
16,100.0
17,0.0
18,150.0
19,250.0
20,75.0
21,50.0
22,150.0
23,175.0
24,150.0
25,100.0
26,425.0
27,225.0
28,125.0
29,75.0
30,100.0
31,300.0
32,475.0
33,50.0
34,50.0
35,100.0
36,125.0
37,500.0
38,150.0
39,125.0
40,125.0
41,250.0
42,175.0
43,175.0
44,150.0
45,525.0
46,25.0
47,650.0
48,50.0
49,550.0
50,125.0
51,125.0
52,225.0
53,225.0
54,100.0
55,150.0
56,275.0
57,100.0
58,475.0
59,425.0
60,450.0
61,100.0
62,175.0
63,75.0
64,250.0
65,100.0
66,400.0
67,250.0
68,25.0
69,75.0
70,175.0
71,75.0
72,275.0
73,250.0
74,600.0
75,100.0
76,850.0
77,50.0
78,125.0
79,125.0
80,575.0
81,75.0
82,125.0
83,500.0
84,50.0
85,50.0
86,50.0
87,225.0
88,175.0
89,275.0
90,100.0
91,550.0
92,175.0
93,225.0
94,125.0
95,350.0
96,50.0
97,150.0
98,125.0
99,175.0
100,225.0
101,25.0
102,400.0
103,550.0
104,75.0
105,100.0
106,100.0
107,175.0
108,575.0
109,25.0
110,25.0
111,175.0
112,125.0
113,200.0
114,50.0
115,225.0
116,200.0
117,400.0
118,75.0
119,125.0
120,400.0
121,200.0
122,125.0
123,125.0
124,425.0
125,250.0
126,75.0
127,225.0
128,125.0
129,125.0
130,625.0
131,575.0
132,75.0
133,250.0
134,400.0
135,100.0
136,75.0
137,125.0
138,250.0
139,75.0
140,400.0
141,75.0
142,275.0
143,1100.0
144,275.0
145,75.0
146,75.0
147,75.0
148,200.0
149,375.0
150,575.0
151,150.0
152,200.0
153,225.0
154,150.0
155,50.0
156,100.0
157,500.0
158,125.0
159,400.0
160,625.0
161,175.0
162,575.0
163,175.0
164,300.0
165,200.0
166,575.0
167,275.0
168,75.0
169,600.0
170,725.0
171,250.0
172,125.0
173,500.0
174,75.0
175,625.0
176,200.0
177,725.0
178,250.0
179,125.0
180,150.0
181,550.0
182,200.0
183,575.0
184,300.0
185,250.0
186,225.0
187,500.0
188,225.0
189,500.0
190,625.0
191,300.0
192,150.0
193,175.0
194,225.0
195,100.0
196,625.0
197,225.0
198,100.0
199,475.0
200,500.0
201,225.0
202,50.0
203,375.0
204,50.0
205,550.0
206,75.0
207,475.0
208,200.0
209,275.0
210,50.0
211,150.0
212,50.0
213,125.0
214,200.0
215,450.0
216,125.0
217,175.0
218,525.0
219,250.0
220,400.0
221,375.0
222,250.0
223,575.0
224,75.0
225,550.0
226,150.0
227,150.0
