Episode,Reward
0,-21.0
1,-20.0
2,-21.0
3,-20.0
4,-20.0
5,-21.0
6,-21.0
7,-21.0
8,-21.0
9,-21.0
10,-21.0
11,-18.0
12,-20.0
13,-21.0
14,-21.0
15,-21.0
16,-20.0
17,-21.0
18,-21.0
19,-20.0
20,-21.0
21,-19.0
22,-19.0
23,-20.0
24,-20.0
25,-20.0
26,-21.0
27,-20.0
28,-21.0
29,-20.0
30,-21.0
31,-20.0
32,-21.0
33,-21.0
34,-21.0
35,-21.0
36,-21.0
37,-19.0
38,-21.0
39,-20.0
40,-20.0
41,-20.0
42,-21.0
43,-21.0
44,-21.0
45,-21.0
46,-21.0
47,-21.0
48,-21.0
49,-20.0
50,-21.0
51,-21.0
52,-21.0
53,-20.0
54,-19.0
55,-21.0
56,-20.0
57,-20.0
58,-20.0
59,-18.0
60,-21.0
61,-21.0
62,-21.0
63,-21.0
64,-21.0
65,-21.0
66,-21.0
67,-19.0
68,-21.0
69,-21.0
70,-21.0
71,-21.0
72,-20.0
73,-21.0
74,-21.0
75,-21.0
76,-19.0
77,-20.0
78,-21.0
79,-21.0
80,-21.0
81,-20.0
82,-21.0
83,-21.0
84,-21.0
85,-20.0
86,-21.0
87,-21.0
88,-20.0
89,-20.0
90,-21.0
91,-21.0
92,-20.0
93,-21.0
94,-21.0
95,-21.0
96,-21.0
97,-19.0
98,-21.0
99,-21.0
100,-21.0
101,-21.0
102,-21.0
103,-21.0
104,-21.0
105,-20.0
106,-21.0
107,-20.0
108,-21.0
109,-21.0
110,-21.0
111,-20.0
112,-21.0
113,-20.0
114,-21.0
115,-20.0
116,-21.0
117,-21.0
118,-21.0
119,-21.0
120,-20.0
121,-20.0
122,-21.0
123,-21.0
124,-21.0
125,-20.0
126,-21.0
127,-21.0
128,-21.0
129,-21.0
130,-21.0
131,-21.0
132,-21.0
133,-21.0
134,-21.0
135,-19.0
136,-21.0
137,-21.0
138,-21.0
139,-21.0
140,-19.0
141,-21.0
142,-21.0
143,-20.0
144,-21.0
145,-20.0
146,-19.0
147,-21.0
148,-21.0
149,-21.0
150,-19.0
151,-20.0
152,-21.0
153,-21.0
154,-20.0
155,-21.0
156,-20.0
157,-21.0
158,-21.0
159,-21.0
160,-20.0
161,-21.0
162,-20.0
163,-21.0
164,-21.0
165,-20.0
166,-20.0
167,-20.0
168,-20.0
169,-21.0
170,-20.0
171,-21.0
172,-21.0
173,-18.0
174,-20.0
175,-21.0
176,-20.0
177,-20.0
178,-20.0
179,-19.0
180,-21.0
181,-21.0
182,-19.0
183,-20.0
184,-21.0
185,-21.0
186,-20.0
187,-21.0
188,-20.0
189,-21.0
190,-20.0
191,-21.0
192,-20.0
193,-21.0
194,-20.0
195,-21.0
196,-20.0
197,-21.0
198,-21.0
199,-21.0
200,-21.0
201,-21.0
202,-20.0
203,-20.0
204,-21.0
205,-21.0
206,-20.0
207,-21.0
208,-20.0
209,-21.0
210,-19.0
211,-21.0
212,-19.0
213,-21.0
214,-21.0
215,-20.0
216,-20.0
217,-20.0
218,-21.0
219,-20.0
220,-21.0
221,-20.0
222,-21.0
223,-21.0
224,-20.0
225,-20.0
226,-20.0
227,-20.0
228,-21.0
229,-20.0
230,-20.0
231,-20.0
232,-21.0
233,-19.0
234,-21.0
235,-21.0
236,-20.0
237,-20.0
238,-20.0
239,-20.0
240,-20.0
241,-21.0
242,-21.0
243,-20.0
244,-20.0
245,-21.0
246,-20.0
247,-21.0
248,-21.0
249,-21.0
250,-18.0
251,-20.0
252,-20.0
253,-19.0
254,-20.0
255,-21.0
256,-21.0
257,-20.0
258,-21.0
259,-21.0
260,-21.0
261,-19.0
262,-20.0
263,-21.0
264,-19.0
265,-20.0
266,-20.0
267,-20.0
268,-21.0
269,-19.0
270,-20.0
271,-20.0
272,-20.0
273,-21.0
274,-20.0
275,-20.0
276,-19.0
277,-21.0
278,-21.0
279,-20.0
280,-20.0
281,-19.0
282,-20.0
283,-20.0
284,-20.0
285,-21.0
286,-20.0
287,-20.0
288,-19.0
289,-21.0
290,-20.0
291,-21.0
292,-21.0
293,-20.0
294,-21.0
295,-20.0
296,-20.0
297,-19.0
298,-20.0
299,-20.0
300,-21.0
301,-21.0
302,-19.0
303,-20.0
304,-21.0
305,-20.0
306,-21.0
307,-21.0
308,-21.0
309,-20.0
310,-20.0
311,-19.0
312,-20.0
313,-20.0
314,-20.0
315,-21.0
316,-20.0
317,-21.0
318,-18.0
319,-19.0
320,-20.0
321,-18.0
322,-20.0
323,-18.0
324,-19.0
325,-17.0
326,-16.0
327,-18.0
328,-18.0
329,-19.0
330,-16.0
331,-18.0
332,-18.0
333,-21.0
334,-18.0
335,-14.0
336,-19.0
337,-20.0
338,-19.0
339,-19.0
340,-18.0
341,-15.0
342,-19.0
343,-18.0
344,-19.0
345,-17.0
346,-16.0
347,-20.0
348,-15.0
349,-17.0
350,-19.0
351,-17.0
352,-14.0
353,-15.0
354,-18.0
355,-17.0
356,-18.0
357,-17.0
358,-16.0
359,-16.0
360,-17.0
361,-15.0
362,-17.0
363,-17.0
364,-15.0
365,-14.0
366,-14.0
367,-17.0
368,-16.0
369,-15.0
370,-13.0
371,-16.0
372,-12.0
373,-15.0
374,-19.0
375,-17.0
376,-16.0
377,-14.0
378,-16.0
379,-15.0
380,-16.0
381,-16.0
382,-13.0
383,-12.0
384,-15.0
385,-13.0
386,-10.0
387,-17.0
388,-16.0
389,-13.0
390,-16.0
391,-15.0
392,-15.0
393,-15.0
394,-10.0
395,-14.0
396,-12.0
397,-12.0
398,-11.0
399,-14.0
400,-12.0
401,-12.0
402,-15.0
403,-15.0
404,-15.0
405,-12.0
406,-14.0
407,-16.0
408,-15.0
409,-13.0
410,-11.0
411,-13.0
412,-12.0
413,-15.0
414,-17.0
415,-14.0
416,-15.0
417,-12.0
418,-12.0
419,-14.0
420,-13.0
421,-11.0
422,-18.0
423,-15.0
424,-13.0
425,-16.0
426,-12.0
427,-10.0
428,-15.0
429,-14.0
430,-17.0
431,-15.0
432,-16.0
433,-10.0
434,-11.0
435,-18.0
436,-16.0
437,-8.0
438,-15.0
439,-11.0
440,-15.0
441,-10.0
442,-13.0
443,-13.0
444,-13.0
445,-11.0
446,-19.0
447,-4.0
448,-11.0
449,-11.0
450,-15.0
451,-11.0
452,-14.0
453,-10.0
454,-11.0
455,-16.0
456,-7.0
457,-13.0
458,-12.0
459,-11.0
460,-8.0
461,-12.0
462,-12.0
463,-12.0
464,-14.0
465,-13.0
466,-13.0
467,-12.0
468,-8.0
469,-13.0
470,-11.0
471,-16.0
472,-13.0
473,-8.0
474,-9.0
475,-10.0
476,-12.0
477,-10.0
478,-9.0
479,-8.0
480,-12.0
481,-10.0
482,-12.0
483,-14.0
484,-11.0
485,-12.0
486,-16.0
487,-15.0
488,-10.0
489,-12.0
490,-8.0
491,-12.0
492,-7.0
493,-10.0
