Episode,Reward
0,125.0
1,25.0
2,250.0
3,725.0
4,125.0
5,0.0
6,175.0
7,75.0
8,75.0
9,150.0
10,200.0
11,75.0
12,150.0
13,200.0
14,25.0
15,75.0
16,50.0
17,100.0
18,25.0
19,150.0
20,50.0
21,150.0
22,250.0
23,75.0
24,475.0
25,125.0
26,125.0
27,250.0
28,100.0
29,225.0
30,25.0
31,125.0
32,150.0
33,875.0
34,200.0
35,200.0
36,125.0
37,75.0
38,50.0
39,250.0
40,200.0
41,375.0
42,75.0
43,200.0
44,200.0
45,525.0
46,650.0
47,375.0
48,250.0
49,75.0
50,300.0
51,300.0
52,125.0
53,50.0
54,125.0
55,200.0
56,375.0
57,225.0
58,625.0
59,275.0
60,300.0
61,150.0
62,575.0
63,50.0
64,150.0
65,25.0
66,425.0
67,575.0
68,100.0
69,550.0
70,525.0
71,125.0
72,175.0
73,25.0
74,100.0
75,350.0
76,625.0
77,25.0
78,250.0
79,625.0
80,75.0
81,225.0
82,300.0
83,125.0
84,100.0
85,575.0
86,100.0
87,225.0
88,300.0
89,175.0
90,625.0
91,350.0
92,125.0
93,350.0
94,275.0
95,100.0
96,75.0
97,150.0
98,200.0
99,25.0
100,175.0
101,50.0
102,525.0
103,50.0
104,275.0
105,125.0
106,375.0
107,125.0
108,175.0
109,525.0
110,150.0
111,250.0
112,275.0
113,225.0
114,150.0
115,275.0
116,200.0
117,250.0
118,600.0
119,275.0
120,75.0
121,225.0
122,50.0
123,325.0
124,0.0
125,250.0
126,450.0
127,275.0
128,175.0
129,200.0
130,300.0
131,200.0
132,175.0
133,550.0
134,125.0
135,625.0
136,50.0
137,200.0
138,275.0
139,50.0
140,200.0
141,125.0
142,125.0
143,400.0
144,600.0
145,575.0
146,250.0
147,325.0
148,200.0
149,250.0
150,100.0
151,375.0
152,175.0
153,225.0
154,175.0
155,100.0
156,525.0
157,250.0
158,100.0
159,650.0
160,175.0
161,500.0
162,125.0
163,525.0
164,400.0
165,200.0
166,425.0
167,100.0
168,25.0
169,175.0
170,250.0
171,300.0
172,525.0
173,250.0
174,550.0
175,125.0
176,300.0
177,300.0
178,575.0
179,550.0
180,200.0
181,75.0
182,225.0
183,125.0
184,650.0
185,350.0
186,225.0
187,550.0
188,325.0
189,75.0
190,500.0
191,500.0
192,175.0
193,475.0
194,150.0
195,600.0
196,550.0
197,100.0
198,525.0
199,50.0
200,625.0
201,200.0
202,200.0
203,200.0
204,375.0
205,500.0
206,225.0
207,525.0
208,250.0
209,200.0
210,550.0
211,575.0
212,525.0
213,275.0
214,300.0
215,25.0
216,275.0
217,50.0
218,300.0
219,375.0
220,375.0
221,150.0
222,200.0
223,225.0
224,575.0
225,550.0
226,125.0
227,75.0
228,325.0
229,75.0
230,600.0
231,325.0
232,225.0
233,350.0
234,550.0
235,250.0
236,600.0
237,750.0
238,125.0
239,425.0
240,150.0
241,975.0
242,150.0
243,175.0
244,300.0
245,250.0
246,150.0
247,150.0
248,150.0
249,650.0
250,275.0
251,650.0
252,150.0
253,550.0
254,700.0
255,175.0
256,550.0
257,125.0
258,575.0
259,375.0
260,500.0
261,400.0
262,400.0
263,500.0
264,25.0
265,75.0
266,400.0
267,400.0
268,75.0
269,525.0
270,350.0
271,300.0
272,550.0
273,300.0
274,200.0
275,250.0
276,550.0
277,625.0
278,500.0
279,525.0
280,350.0
281,125.0
282,250.0
283,525.0
284,50.0
285,200.0
286,175.0
287,625.0
288,450.0
289,700.0
290,150.0
291,325.0
292,500.0
293,250.0
294,475.0
295,550.0
296,450.0
297,700.0
298,200.0
299,675.0
300,350.0
301,375.0
302,275.0
303,750.0
304,25.0
305,50.0
306,300.0
307,325.0
308,300.0
309,225.0
310,325.0
311,575.0
312,600.0
313,100.0
314,400.0
315,575.0
316,625.0
317,550.0
318,75.0
319,200.0
320,625.0
321,600.0
322,75.0
323,175.0
324,675.0
325,225.0
326,475.0
327,325.0
328,275.0
329,300.0
330,250.0
331,350.0
332,500.0
333,475.0
334,625.0
335,600.0
336,225.0
337,625.0
338,525.0
339,500.0
340,525.0
341,725.0
342,600.0
343,450.0
344,250.0
345,450.0
346,700.0
347,400.0
348,550.0
349,375.0
350,500.0
351,50.0
352,200.0
353,475.0
354,400.0
355,175.0
356,650.0
357,400.0
358,625.0
359,350.0
360,350.0
361,125.0
362,475.0
363,525.0
364,525.0
365,500.0
366,275.0
367,600.0
368,525.0
369,600.0
370,575.0
371,500.0
372,500.0
373,325.0
374,250.0
375,350.0
376,575.0
377,400.0
378,525.0
379,500.0
380,525.0
381,150.0
382,475.0
383,50.0
384,575.0
385,350.0
386,50.0
387,225.0
388,475.0
389,525.0
390,525.0
391,575.0
392,100.0
393,500.0
394,475.0
395,50.0
396,650.0
397,150.0
398,575.0
399,300.0
400,475.0
401,175.0
402,550.0
403,650.0
404,375.0
405,600.0
406,575.0
407,1025.0
408,300.0
409,375.0
410,700.0
411,275.0
412,300.0
413,500.0
414,500.0
415,450.0
416,325.0
417,425.0
418,200.0
419,575.0
420,400.0
421,350.0
422,525.0
423,600.0
424,200.0
425,425.0
426,400.0
427,175.0
428,550.0
429,550.0
430,625.0
431,175.0
432,600.0
433,600.0
434,625.0
435,625.0
436,375.0
437,500.0
438,725.0
439,325.0
440,600.0
441,225.0
442,750.0
443,250.0
444,275.0
445,350.0
446,600.0
447,600.0
448,600.0
449,375.0
450,725.0
451,50.0
452,650.0
453,375.0
454,600.0
455,325.0
456,75.0
457,625.0
458,450.0
459,425.0
460,675.0
461,150.0
462,700.0
463,675.0
464,650.0
465,625.0
466,175.0
467,525.0
468,675.0
469,475.0
470,725.0
471,600.0
472,675.0
473,650.0
474,675.0
475,475.0
476,475.0
477,625.0
478,475.0
479,550.0
480,700.0
481,500.0
482,625.0
483,575.0
484,650.0
485,550.0
486,375.0
487,350.0
488,375.0
489,375.0
490,575.0
491,350.0
492,550.0
493,875.0
494,300.0
495,175.0
496,325.0
497,525.0
498,725.0
499,225.0
500,675.0
501,300.0
502,750.0
503,625.0
504,375.0
505,175.0
506,650.0
507,600.0
508,650.0
509,700.0
510,300.0
511,550.0
512,50.0
513,625.0
514,350.0
515,450.0
516,400.0
517,1225.0
518,50.0
519,425.0
520,575.0
521,500.0
522,700.0
523,700.0
524,400.0
525,425.0
526,725.0
527,525.0
528,550.0
529,675.0
530,600.0
531,350.0
532,625.0
533,50.0
534,475.0
535,675.0
536,700.0
537,650.0
538,400.0
539,650.0
540,350.0
541,225.0
542,725.0
543,675.0
544,650.0
545,625.0
546,700.0
547,275.0
548,300.0
549,250.0
550,525.0
551,675.0
552,550.0
553,650.0
554,550.0
555,775.0
556,675.0
557,650.0
558,650.0
559,650.0
560,650.0
561,675.0
562,525.0
563,575.0
564,575.0
565,475.0
566,650.0
567,550.0
568,775.0
569,500.0
570,550.0
571,475.0
572,675.0
573,275.0
574,275.0
575,650.0
576,450.0
577,575.0
578,700.0
579,725.0
580,650.0
581,75.0
582,500.0
583,525.0
584,600.0
585,675.0
586,500.0
587,700.0
588,575.0
589,675.0
590,600.0
591,675.0
592,725.0
593,675.0
594,475.0
595,725.0
596,375.0
597,600.0
598,575.0
599,675.0
600,1250.0
601,700.0
602,650.0
603,225.0
604,600.0
605,575.0
606,675.0
607,325.0
608,675.0
609,400.0
610,725.0
611,650.0
612,675.0
613,675.0
614,700.0
615,625.0
616,675.0
617,600.0
618,325.0
619,725.0
620,575.0
621,500.0
622,750.0
623,650.0
624,700.0
625,600.0
626,575.0
627,725.0
628,375.0
629,700.0
630,800.0
631,625.0
632,625.0
633,750.0
634,725.0
635,775.0
636,625.0
637,700.0
638,775.0
639,675.0
640,700.0
641,675.0
642,600.0
643,675.0
644,675.0
645,650.0
646,675.0
647,500.0
648,325.0
649,600.0
650,725.0
651,725.0
652,650.0
653,675.0
654,750.0
655,750.0
656,275.0
657,650.0
658,775.0
659,725.0
660,725.0
661,650.0
662,700.0
663,650.0
664,700.0
665,700.0
666,450.0
667,1125.0
668,675.0
669,750.0
670,750.0
671,675.0
672,750.0
673,725.0
674,650.0
675,675.0
676,650.0
677,650.0
678,575.0
679,625.0
680,700.0
681,750.0
682,725.0
683,1250.0
684,675.0
685,675.0
686,575.0
687,650.0
688,650.0
689,200.0
690,625.0
691,450.0
692,725.0
693,775.0
694,625.0
695,1250.0
696,675.0
697,600.0
698,700.0
699,700.0
700,750.0
701,675.0
702,500.0
703,725.0
704,725.0
705,600.0
706,250.0
707,650.0
708,200.0
709,700.0
710,575.0
711,400.0
712,675.0
713,675.0
714,750.0
715,675.0
716,775.0
717,425.0
718,750.0
719,675.0
720,700.0
721,750.0
722,525.0
723,650.0
724,775.0
725,800.0
726,725.0
727,625.0
728,700.0
729,650.0
730,675.0
731,775.0
732,700.0
733,675.0
734,750.0
735,350.0
736,725.0
737,775.0
738,450.0
739,650.0
740,775.0
741,650.0
742,550.0
743,675.0
744,500.0
745,375.0
746,625.0
747,300.0
748,675.0
749,350.0
750,675.0
751,650.0
752,725.0
753,725.0
754,700.0
755,725.0
756,750.0
757,725.0
758,675.0
759,725.0
760,775.0
761,800.0
