episode,reward,steps
0,-21.0,972
1,-21.0,913
2,-19.0,1043
3,-21.0,944
4,-20.0,982
5,-20.0,861
6,-19.0,1073
7,-20.0,1037
8,-20.0,1080
9,-21.0,792
10,-21.0,852
11,-19.0,1086
12,-21.0,783
13,-20.0,1009
14,-20.0,1107
15,-19.0,1086
16,-21.0,764
17,-19.0,1090
18,-20.0,903
19,-20.0,838
20,-21.0,824
21,-20.0,1044
22,-21.0,931
23,-21.0,943
24,-20.0,931
25,-21.0,844
26,-21.0,824
27,-20.0,992
28,-19.0,915
29,-21.0,964
30,-21.0,826
31,-21.0,885
32,-21.0,844
33,-21.0,826
34,-21.0,1004
35,-20.0,965
36,-20.0,919
37,-21.0,843
38,-20.0,837
39,-18.0,1079
40,-20.0,872
41,-20.0,1027
42,-21.0,812
43,-20.0,1115
44,-21.0,764
45,-21.0,914
46,-19.0,937
47,-20.0,870
48,-19.0,997
49,-21.0,825
50,-20.0,1057
51,-21.0,1065
52,-21.0,811
53,-21.0,792
54,-20.0,1051
55,-21.0,852
56,-20.0,987
57,-21.0,886
58,-21.0,912
59,-21.0,811
60,-21.0,884
61,-20.0,992
62,-21.0,871
63,-21.0,812
64,-21.0,764
65,-21.0,820
66,-21.0,793
67,-21.0,783
68,-19.0,1055
69,-20.0,866
70,-20.0,889
71,-20.0,1004
72,-20.0,899
73,-20.0,842
74,-19.0,966
75,-21.0,793
76,-19.0,948
77,-21.0,824
78,-21.0,792
79,-20.0,842
80,-21.0,783
81,-21.0,764
82,-21.0,764
83,-21.0,913
84,-21.0,764
85,-21.0,826
86,-21.0,824
87,-20.0,921
88,-21.0,824
89,-21.0,841
90,-20.0,871
91,-21.0,841
92,-21.0,764
93,-21.0,783
94,-21.0,852
95,-21.0,764
96,-20.0,906
97,-21.0,764
98,-21.0,764
99,-21.0,764
100,-21.0,824
101,-21.0,764
102,-21.0,764
103,-20.0,866
104,-21.0,764
105,-21.0,764
106,-21.0,764
107,-21.0,764
108,-20.0,921
109,-20.0,960
110,-21.0,764
111,-21.0,764
112,-19.0,945
113,-21.0,783
114,-21.0,764
115,-20.0,871
116,-21.0,824
117,-21.0,825
118,-21.0,764
119,-21.0,764
120,-21.0,764
121,-21.0,764
122,-21.0,764
123,-21.0,764
124,-21.0,764
125,-21.0,764
126,-21.0,764
127,-21.0,764
128,-21.0,824
129,-21.0,764
130,-21.0,764
131,-21.0,764
132,-21.0,764
133,-21.0,764
134,-21.0,783
135,-21.0,793
136,-20.0,838
137,-21.0,852
138,-19.0,961
139,-21.0,764
140,-21.0,764
141,-21.0,764
142,-21.0,794
143,-21.0,826
144,-21.0,764
145,-21.0,764
146,-21.0,792
147,-21.0,764
148,-21.0,764
149,-21.0,764
150,-21.0,764
151,-21.0,826
152,-21.0,764
153,-20.0,918
154,-21.0,764
155,-21.0,764
156,-21.0,764
157,-21.0,764
158,-21.0,764
159,-21.0,764
160,-21.0,764
161,-21.0,764
162,-21.0,764
163,-21.0,764
164,-21.0,764
165,-21.0,764
166,-21.0,764
167,-21.0,764
168,-20.0,842
169,-21.0,764
170,-21.0,764
171,-21.0,764
172,-21.0,783
173,-21.0,764
174,-20.0,838
175,-20.0,838
176,-21.0,826
177,-21.0,826
178,-21.0,764
179,-21.0,813
180,-21.0,764
181,-21.0,812
182,-20.0,844
183,-21.0,764
184,-21.0,764
185,-20.0,904
186,-21.0,974
187,-20.0,838
188,-21.0,824
189,-21.0,764
190,-21.0,892
191,-20.0,872
192,-20.0,1011
193,-20.0,979
194,-21.0,824
195,-21.0,1007
196,-21.0,764
197,-21.0,811
198,-19.0,921
199,-21.0,783
200,-21.0,764
201,-21.0,824
202,-20.0,871
203,-21.0,824
204,-21.0,764
205,-21.0,825
206,-20.0,994
207,-21.0,764
208,-21.0,764
209,-21.0,764
210,-21.0,764
211,-21.0,764
212,-21.0,764
213,-21.0,974
214,-21.0,881
215,-21.0,764
216,-21.0,764
217,-21.0,884
218,-21.0,764
219,-21.0,872
220,-21.0,782
221,-20.0,838
222,-21.0,886
223,-21.0,764
224,-19.0,1114
225,-21.0,764
226,-21.0,912
227,-21.0,764
228,-20.0,837
229,-21.0,764
230,-21.0,764
231,-21.0,794
232,-20.0,949
233,-21.0,764
234,-21.0,793
235,-21.0,764
236,-21.0,973
237,-19.0,1107
238,-21.0,852
239,-21.0,852
240,-21.0,1108
241,-21.0,792
242,-20.0,992
243,-21.0,955
244,-20.0,889
245,-21.0,764
246,-21.0,824
247,-18.0,1027
248,-19.0,993
249,-21.0,824
250,-18.0,1060
251,-20.0,1007
252,-21.0,824
253,-21.0,792
254,-21.0,870
255,-21.0,852
256,-20.0,838
257,-20.0,1132
258,-20.0,963
259,-21.0,963
260,-20.0,927
261,-20.0,932
262,-21.0,904
263,-21.0,961
264,-21.0,1012
265,-21.0,1052
266,-21.0,824
267,-20.0,838
268,-19.0,999
269,-21.0,824
270,-21.0,825
271,-21.0,820
272,-21.0,945
273,-21.0,884
274,-20.0,872
275,-21.0,840
276,-20.0,838
277,-21.0,792
278,-21.0,824
279,-20.0,930
280,-20.0,842
281,-21.0,824
282,-21.0,824
283,-21.0,941
284,-20.0,838
285,-21.0,792
286,-21.0,824
287,-21.0,792
288,-21.0,792
289,-21.0,783
290,-20.0,843
291,-21.0,884
292,-21.0,783
293,-21.0,932
294,-20.0,900
295,-21.0,880
296,-20.0,844
297,-21.0,783
298,-21.0,825
299,-21.0,792
300,-21.0,783
301,-20.0,838
302,-21.0,783
303,-21.0,1002
304,-21.0,852
305,-21.0,792
306,-20.0,921
307,-19.0,1105
308,-19.0,934
309,-21.0,792
310,-21.0,820
311,-20.0,991
312,-21.0,932
313,-19.0,1050
314,-20.0,931
315,-21.0,942
316,-20.0,890
317,-20.0,931
318,-21.0,824
319,-21.0,940
320,-21.0,852
321,-18.0,1111
322,-20.0,959
323,-20.0,856
324,-21.0,867
325,-21.0,852
326,-18.0,1262
327,-21.0,783
328,-19.0,1125
329,-20.0,1145
330,-20.0,888
331,-20.0,962
332,-19.0,1262
333,-20.0,838
