Episode,Reward,Steps
0,-20.0,1011
1,-20.0,920
2,-21.0,886
3,-21.0,884
4,-19.0,1015
5,-21.0,887
6,-21.0,940
7,-21.0,764
8,-21.0,855
9,-20.0,843
10,-21.0,1051
11,-21.0,900
12,-20.0,1077
13,-21.0,1121
14,-21.0,843
15,-20.0,1008
16,-20.0,872
17,-19.0,966
18,-21.0,908
19,-21.0,826
20,-21.0,820
21,-20.0,844
22,-19.0,1001
23,-20.0,904
24,-19.0,1057
25,-20.0,912
26,-21.0,843
27,-21.0,884
28,-21.0,783
29,-20.0,927
30,-20.0,959
31,-21.0,794
32,-21.0,1032
33,-20.0,960
34,-21.0,871
35,-20.0,878
36,-21.0,944
37,-21.0,910
38,-21.0,824
39,-20.0,843
40,-21.0,884
41,-21.0,824
42,-21.0,912
43,-21.0,782
44,-21.0,905
45,-20.0,958
46,-20.0,930
47,-20.0,959
48,-20.0,921
49,-21.0,932
50,-18.0,1000
51,-21.0,792
52,-20.0,902
53,-20.0,964
54,-21.0,948
55,-21.0,783
56,-21.0,802
57,-20.0,930
58,-21.0,934
59,-21.0,910
60,-21.0,888
61,-21.0,825
62,-21.0,931
63,-21.0,822
64,-20.0,837
65,-20.0,842
66,-21.0,875
67,-21.0,824
68,-20.0,940
69,-21.0,848
70,-21.0,886
71,-19.0,1038
72,-20.0,1028
73,-21.0,792
74,-21.0,1006
75,-21.0,783
76,-20.0,870
77,-21.0,884
78,-21.0,826
79,-21.0,824
80,-21.0,843
81,-20.0,921
82,-21.0,885
83,-21.0,852
84,-21.0,886
85,-19.0,1038
86,-20.0,838
87,-20.0,842
88,-21.0,783
89,-21.0,824
90,-21.0,843
91,-21.0,824
92,-21.0,871
93,-21.0,902
94,-21.0,822
95,-20.0,906
96,-19.0,1026
97,-21.0,854
98,-21.0,945
99,-21.0,870
100,-21.0,886
101,-21.0,871
102,-21.0,824
103,-21.0,826
104,-21.0,783
105,-21.0,964
106,-21.0,824
107,-20.0,843
108,-21.0,871
109,-21.0,824
110,-21.0,783
111,-20.0,838
112,-21.0,1000
113,-21.0,792
114,-20.0,977
115,-20.0,898
116,-21.0,843
117,-21.0,946
118,-21.0,811
119,-19.0,1070
120,-21.0,794
121,-21.0,824
122,-21.0,935
123,-20.0,921
124,-21.0,843
125,-20.0,885
126,-21.0,1004
127,-19.0,986
128,-20.0,1012
129,-20.0,962
130,-21.0,840
131,-21.0,812
132,-21.0,826
133,-19.0,938
134,-21.0,792
135,-21.0,886
136,-20.0,993
137,-21.0,783
138,-21.0,873
139,-21.0,783
140,-21.0,853
141,-18.0,1013
142,-21.0,852
143,-21.0,826
144,-21.0,813
145,-20.0,921
146,-21.0,854
147,-21.0,764
148,-20.0,974
149,-20.0,1056
150,-19.0,970
151,-20.0,982
152,-21.0,929
153,-20.0,974
154,-20.0,975
155,-21.0,929
156,-19.0,1031
157,-19.0,1253
158,-20.0,961
159,-20.0,1009
160,-20.0,1207
161,-20.0,1037
162,-19.0,1277
163,-18.0,1126
164,-20.0,1138
165,-18.0,1414
166,-20.0,1317
167,-20.0,1187
168,-19.0,1069
169,-18.0,1334
170,-19.0,1227
171,-20.0,1162
172,-18.0,1196
173,-18.0,1198
174,-20.0,1215
175,-18.0,1437
176,-18.0,1157
177,-21.0,1165
178,-18.0,1083
179,-20.0,1125
180,-19.0,1117
181,-20.0,1124
182,-21.0,1133
183,-17.0,1433
184,-17.0,1428
185,-17.0,1386
186,-19.0,1241
187,-21.0,1130
188,-18.0,1317
189,-15.0,1640
190,-17.0,1472
191,-21.0,910
192,-20.0,1157
193,-18.0,1321
194,-20.0,1231
195,-16.0,1516
196,-20.0,1107
197,-18.0,1355
198,-20.0,1131
199,-20.0,1195
200,-20.0,1314
201,-17.0,1438
202,-18.0,1383
203,-17.0,1448
204,-19.0,1442
205,-19.0,1182
206,-18.0,1427
207,-15.0,1651
208,-19.0,1298
209,-16.0,1486
210,-19.0,1354
211,-20.0,1278
212,-19.0,1387
213,-18.0,1347
214,-20.0,1330
215,-18.0,1507
216,-16.0,1545
217,-18.0,1374
218,-21.0,1208
219,-19.0,1384
220,-19.0,1425
221,-17.0,1554
222,-20.0,1496
223,-19.0,1334
224,-19.0,1335
225,-19.0,1318
226,-17.0,1582
227,-21.0,1142
228,-19.0,1386
229,-17.0,1542
230,-18.0,1485
231,-18.0,1461
232,-19.0,1433
233,-19.0,1345
234,-18.0,1428
235,-18.0,1473
236,-16.0,1741
237,-14.0,1886
238,-17.0,1488
239,-18.0,1346
240,-19.0,1447
241,-19.0,1284
242,-19.0,1243
243,-20.0,1369
244,-17.0,1424
245,-19.0,1333
246,-15.0,1546
247,-19.0,1355
248,-20.0,1453
249,-18.0,1423
250,-20.0,1483
251,-18.0,1491
252,-17.0,1502
253,-19.0,1494
254,-19.0,1470
255,-19.0,1481
256,-18.0,1451
257,-16.0,1711
258,-16.0,1519
259,-18.0,1560
260,-19.0,1521
261,-18.0,1602
262,-19.0,1508
263,-19.0,1476
264,-17.0,1438
265,-17.0,1511
266,-18.0,1332
267,-17.0,1740
268,-20.0,1557
269,-19.0,1650
270,-19.0,1570
271,-18.0,1536
272,-19.0,1485
273,-21.0,1464
274,-20.0,1576
275,-18.0,1549
276,-21.0,1326
277,-18.0,1658
278,-19.0,1808
279,-16.0,1837
280,-17.0,1788
281,-18.0,1665
282,-14.0,1951
283,-21.0,1457
284,-18.0,1591
285,-16.0,1667
286,-19.0,1623
287,-21.0,1535
288,-18.0,1718
289,-19.0,1500
290,-17.0,1749
291,-16.0,1923
292,-19.0,1677
293,-19.0,1921
294,-19.0,1837
295,-21.0,1369
296,-18.0,1734
297,-18.0,1954
298,-18.0,2166
299,-18.0,1736
300,-17.0,1877
301,-19.0,2008
302,-18.0,1673
303,-18.0,1792
304,-20.0,1244
305,-20.0,1525
306,-17.0,1796
307,-20.0,1993
308,-18.0,1981
309,-21.0,1741
310,-16.0,2314
311,-19.0,1827
312,-20.0,1905
313,-18.0,2164
314,-20.0,1978
315,-19.0,2247
316,-18.0,2144
317,-17.0,2164
318,-19.0,2017
319,-18.0,1944
320,-16.0,2474
321,-20.0,1822
322,-18.0,2097
323,-18.0,2263
324,-16.0,2317
325,-17.0,2791
326,-18.0,2054
327,-18.0,2193
328,-18.0,2281
329,-20.0,1859
330,-18.0,2256
331,-18.0,2221
332,-21.0,2217
333,-18.0,2316
334,-18.0,2163
335,-14.0,2111
336,-18.0,2149
337,-17.0,2275
338,-19.0,1866
339,-16.0,2214
340,-15.0,2107
341,-15.0,2268
342,-19.0,2089
343,-20.0,1895
344,-14.0,2307
345,-16.0,1981
346,-17.0,2091
347,-20.0,1855
348,-15.0,1996
349,-17.0,2246
350,-15.0,2370
351,-18.0,2143
352,-13.0,2057
353,-15.0,2254
354,-10.0,2730
355,-16.0,1961
356,-16.0,2109
357,-16.0,2093
358,-14.0,1934
359,-13.0,2328
360,-16.0,2077
361,-16.0,2028
362,-14.0,2155
363,-15.0,2067
364,-12.0,2203
365,-15.0,2293
366,-19.0,1452
367,-15.0,2626
368,-13.0,2264
369,-15.0,2151
370,-17.0,2220
371,-18.0,2021
372,-13.0,2897
373,-13.0,2500
374,-18.0,2830
375,-14.0,2592
376,-16.0,2656
377,-13.0,3038
378,-11.0,2892
379,-14.0,2185
380,-16.0,2197
381,-15.0,2339
382,-8.0,3619
383,-18.0,2850
384,-15.0,2809
385,-17.0,2438
386,-13.0,2979
387,-9.0,2587
388,-14.0,2604
389,-15.0,2894
390,-12.0,3327
391,-15.0,3089
392,-17.0,2818
393,-13.0,3172
394,-14.0,2568
395,-9.0,3670
396,-7.0,3596
397,-13.0,2832
398,-12.0,3337
399,-4.0,3602
400,-13.0,2644
401,-12.0,2574
402,-11.0,2972
403,-10.0,2970
404,-9.0,3073
405,-13.0,3439
406,-7.0,3414
407,-2.0,4950
408,-7.0,3371
409,6.0,3454
410,-4.0,3291
411,8.0,3029
412,-2.0,3515
413,-4.0,3617
414,1.0,3604
415,4.0,3163
416,5.0,3528
417,-2.0,3564
418,10.0,3022
419,9.0,2912
420,2.0,3696
421,10.0,3098
422,4.0,3662
423,19.0,1791
424,-5.0,3478
425,12.0,2580
426,5.0,3202
427,9.0,2832
428,-8.0,2584
429,16.0,2094
430,13.0,2412
431,13.0,2428
432,15.0,2379
433,19.0,1838
434,15.0,2262
435,14.0,2326
436,16.0,2302
437,11.0,2524
438,17.0,2016
439,17.0,2091
440,13.0,2288
441,12.0,2296
442,11.0,2788
443,3.0,3246
444,13.0,2472
445,2.0,3523
446,16.0,2130
447,15.0,2416
448,10.0,2793
449,12.0,2237
450,15.0,2308
451,16.0,2059
452,12.0,2421
453,15.0,2352
454,11.0,2535
455,9.0,2629
456,18.0,1963
457,13.0,2604
458,12.0,2752
459,18.0,2047
460,9.0,2955
461,10.0,2738
462,16.0,2253
463,12.0,2951
464,12.0,2780
465,13.0,2550
466,15.0,2442
467,11.0,2767
468,10.0,2610
469,18.0,2161
470,14.0,2473
471,9.0,2975
472,14.0,2858
473,15.0,2303
474,13.0,2559
475,12.0,3072
476,12.0,2815
477,6.0,3634
478,16.0,2411
479,14.0,2767
480,8.0,3579
481,9.0,2698
482,16.0,2618
483,15.0,2443
484,11.0,2707
485,14.0,2498
486,10.0,3345
487,14.0,2836
488,12.0,2835
489,15.0,2307
