Episode,Reward
0,200.0
1,0.0
2,475.0
3,175.0
4,125.0
5,50.0
6,125.0
7,125.0
8,0.0
9,125.0
10,0.0
11,75.0
12,150.0
13,50.0
14,225.0
15,100.0
16,200.0
17,275.0
18,0.0
19,75.0
20,150.0
21,500.0
22,50.0
23,100.0
24,100.0
25,100.0
26,525.0
27,150.0
28,200.0
29,525.0
30,150.0
31,150.0
32,50.0
33,150.0
34,175.0
35,75.0
36,175.0
37,50.0
38,25.0
39,150.0
40,175.0
41,25.0
42,500.0
43,150.0
44,175.0
45,75.0
46,250.0
47,150.0
48,525.0
49,175.0
50,175.0
51,75.0
52,100.0
53,100.0
54,150.0
55,200.0
56,275.0
57,100.0
58,0.0
59,75.0
60,175.0
61,175.0
62,250.0
63,200.0
64,150.0
65,625.0
66,550.0
67,75.0
68,75.0
69,100.0
70,0.0
71,75.0
72,125.0
73,175.0
74,225.0
75,225.0
76,225.0
77,25.0
78,175.0
79,50.0
80,75.0
81,475.0
82,300.0
83,125.0
84,25.0
85,700.0
86,25.0
87,125.0
88,100.0
89,600.0
90,75.0
91,150.0
92,225.0
93,425.0
94,275.0
95,125.0
96,200.0
97,225.0
98,525.0
99,175.0
100,200.0
101,100.0
102,150.0
103,275.0
104,150.0
105,325.0
106,200.0
107,75.0
108,200.0
109,475.0
110,300.0
111,350.0
112,150.0
113,175.0
114,175.0
115,150.0
116,1100.0
117,75.0
118,200.0
119,50.0
120,200.0
121,225.0
122,550.0
123,250.0
124,550.0
125,225.0
126,225.0
127,125.0
128,300.0
129,675.0
130,200.0
131,125.0
132,25.0
133,175.0
134,200.0
135,100.0
136,500.0
137,175.0
138,350.0
139,275.0
140,50.0
141,175.0
142,225.0
143,75.0
144,625.0
145,175.0
146,525.0
147,250.0
148,625.0
149,325.0
150,350.0
151,425.0
152,200.0
153,200.0
154,275.0
155,275.0
156,275.0
157,250.0
158,500.0
159,175.0
160,225.0
161,150.0
162,575.0
163,250.0
164,325.0
165,225.0
166,500.0
167,150.0
168,50.0
169,250.0
170,175.0
171,375.0
172,250.0
173,650.0
174,250.0
175,125.0
176,175.0
177,550.0
178,375.0
179,125.0
180,675.0
181,250.0
182,600.0
183,575.0
184,200.0
185,250.0
186,350.0
187,225.0
188,275.0
189,275.0
190,150.0
191,75.0
192,350.0
193,150.0
194,200.0
195,450.0
196,650.0
197,525.0
198,175.0
199,825.0
200,475.0
201,125.0
202,125.0
203,300.0
204,225.0
205,175.0
206,75.0
207,325.0
208,175.0
209,250.0
210,250.0
211,300.0
212,300.0
213,300.0
214,350.0
215,625.0
216,275.0
217,475.0
218,250.0
219,200.0
220,300.0
221,575.0
222,250.0
223,750.0
224,250.0
225,800.0
226,625.0
227,500.0
228,250.0
229,175.0
230,225.0
231,500.0
232,625.0
233,550.0
234,25.0
235,200.0
236,125.0
237,275.0
238,200.0
239,200.0
240,425.0
241,275.0
242,425.0
243,675.0
244,300.0
245,350.0
246,500.0
247,225.0
248,700.0
249,525.0
250,350.0
251,250.0
252,450.0
253,225.0
254,200.0
255,650.0
256,275.0
257,575.0
258,575.0
259,300.0
260,200.0
261,525.0
262,525.0
263,200.0
264,200.0
265,350.0
266,625.0
267,600.0
268,650.0
269,225.0
270,375.0
271,200.0
272,525.0
273,225.0
274,250.0
275,500.0
276,350.0
277,250.0
278,600.0
279,300.0
280,450.0
281,550.0
282,475.0
283,575.0
284,525.0
285,175.0
286,525.0
287,100.0
288,625.0
289,475.0
290,625.0
291,500.0
292,625.0
293,625.0
294,175.0
295,600.0
296,600.0
297,550.0
298,200.0
299,225.0
300,175.0
301,650.0
302,175.0
303,325.0
304,275.0
305,625.0
306,625.0
307,550.0
308,550.0
309,50.0
310,325.0
311,625.0
312,275.0
313,600.0
314,425.0
315,300.0
316,475.0
317,225.0
318,350.0
319,700.0
320,250.0
321,675.0
322,625.0
323,100.0
324,600.0
325,625.0
