Episode,Reward
0,-19.0
1,-21.0
2,-21.0
3,-19.0
4,-21.0
5,-21.0
6,-21.0
7,-21.0
8,-20.0
9,-20.0
10,-19.0
11,-21.0
12,-21.0
13,-20.0
14,-21.0
15,-20.0
16,-21.0
17,-21.0
18,-21.0
19,-20.0
20,-21.0
21,-21.0
22,-21.0
23,-21.0
24,-21.0
25,-21.0
26,-20.0
27,-19.0
28,-20.0
29,-20.0
30,-21.0
31,-21.0
32,-21.0
33,-20.0
34,-20.0
35,-21.0
36,-20.0
37,-21.0
38,-20.0
39,-21.0
40,-21.0
41,-20.0
42,-21.0
43,-21.0
44,-20.0
45,-21.0
46,-21.0
47,-21.0
48,-21.0
49,-20.0
50,-20.0
51,-20.0
52,-21.0
53,-20.0
54,-21.0
55,-21.0
56,-19.0
57,-21.0
58,-20.0
59,-21.0
60,-20.0
61,-21.0
62,-21.0
63,-20.0
64,-19.0
65,-20.0
66,-21.0
67,-21.0
68,-18.0
69,-21.0
70,-21.0
71,-21.0
72,-21.0
73,-21.0
74,-21.0
75,-21.0
76,-21.0
77,-21.0
78,-20.0
79,-21.0
80,-21.0
81,-21.0
82,-21.0
83,-21.0
84,-21.0
85,-21.0
86,-21.0
87,-21.0
88,-21.0
89,-21.0
90,-21.0
91,-21.0
92,-20.0
93,-21.0
94,-21.0
95,-21.0
96,-21.0
97,-21.0
98,-21.0
99,-21.0
100,-21.0
101,-21.0
102,-21.0
103,-21.0
104,-21.0
105,-21.0
106,-21.0
107,-21.0
108,-21.0
109,-20.0
110,-21.0
111,-21.0
112,-21.0
113,-21.0
114,-21.0
115,-21.0
116,-21.0
117,-21.0
118,-21.0
119,-21.0
120,-21.0
121,-21.0
122,-20.0
123,-21.0
124,-21.0
125,-21.0
126,-21.0
127,-21.0
128,-21.0
129,-21.0
130,-21.0
131,-20.0
132,-21.0
133,-20.0
134,-18.0
135,-21.0
136,-20.0
137,-20.0
138,-21.0
139,-20.0
140,-20.0
141,-20.0
142,-20.0
143,-21.0
144,-20.0
145,-20.0
146,-20.0
147,-21.0
148,-20.0
149,-20.0
150,-19.0
151,-21.0
152,-20.0
153,-20.0
154,-21.0
155,-21.0
156,-21.0
157,-21.0
158,-20.0
159,-20.0
160,-21.0
161,-19.0
162,-21.0
163,-21.0
164,-21.0
165,-21.0
166,-20.0
167,-21.0
168,-20.0
169,-20.0
170,-21.0
171,-21.0
172,-21.0
173,-21.0
174,-20.0
175,-20.0
176,-20.0
177,-21.0
178,-20.0
179,-21.0
180,-20.0
181,-21.0
182,-20.0
183,-21.0
184,-20.0
185,-21.0
186,-20.0
187,-21.0
188,-20.0
189,-21.0
190,-20.0
191,-21.0
192,-21.0
193,-21.0
194,-20.0
195,-20.0
196,-21.0
197,-20.0
198,-21.0
199,-21.0
200,-21.0
201,-21.0
202,-21.0
203,-21.0
204,-21.0
205,-21.0
206,-20.0
207,-21.0
208,-21.0
209,-21.0
210,-21.0
211,-20.0
212,-21.0
213,-21.0
214,-20.0
215,-21.0
216,-20.0
217,-21.0
218,-20.0
219,-20.0
220,-20.0
221,-21.0
222,-21.0
223,-20.0
224,-20.0
225,-21.0
226,-20.0
227,-20.0
228,-19.0
229,-20.0
230,-19.0
231,-17.0
232,-20.0
233,-16.0
234,-18.0
235,-20.0
236,-20.0
237,-20.0
238,-19.0
239,-18.0
240,-19.0
241,-15.0
242,-19.0
243,-20.0
244,-19.0
245,-20.0
246,-18.0
247,-18.0
248,-16.0
249,-19.0
250,-21.0
251,-17.0
252,-16.0
253,-17.0
254,-17.0
255,-18.0
256,-17.0
257,-19.0
258,-18.0
259,-16.0
260,-20.0
261,-16.0
262,-19.0
263,-21.0
264,-19.0
265,-19.0
266,-18.0
267,-16.0
268,-19.0
269,-19.0
270,-19.0
271,-17.0
272,-17.0
273,-18.0
274,-16.0
275,-19.0
276,-19.0
277,-20.0
278,-19.0
279,-19.0
280,-19.0
281,-20.0
282,-18.0
283,-19.0
284,-20.0
285,-21.0
286,-21.0
287,-21.0
288,-19.0
289,-18.0
290,-16.0
291,-21.0
292,-19.0
293,-20.0
294,-20.0
295,-17.0
296,-18.0
297,-20.0
298,-20.0
299,-19.0
300,-18.0
301,-16.0
302,-20.0
303,-20.0
304,-20.0
305,-20.0
306,-18.0
307,-18.0
308,-21.0
309,-18.0
310,-20.0
311,-21.0
312,-20.0
313,-19.0
314,-20.0
315,-17.0
316,-21.0
317,-18.0
318,-18.0
319,-19.0
320,-18.0
321,-17.0
322,-16.0
323,-19.0
324,-13.0
325,-17.0
326,-16.0
327,-19.0
328,-13.0
329,-15.0
330,-18.0
331,-17.0
332,-16.0
333,-18.0
334,-18.0
335,-13.0
336,-19.0
337,-21.0
338,-16.0
339,-17.0
340,-20.0
341,-15.0
342,-19.0
343,-16.0
344,-16.0
345,-18.0
346,-16.0
347,-19.0
348,-14.0
349,-17.0
350,-18.0
351,-17.0
352,-17.0
353,-17.0
354,-19.0
355,-17.0
356,-17.0
357,-15.0
358,-21.0
359,-17.0
360,-15.0
361,-16.0
362,-17.0
363,-17.0
364,-19.0
365,-19.0
366,-16.0
367,-19.0
368,-18.0
369,-19.0
370,-20.0
371,-14.0
372,-17.0
373,-17.0
374,-17.0
375,-12.0
376,-17.0
377,-17.0
378,-18.0
379,-16.0
380,-19.0
381,-16.0
382,-21.0
383,-19.0
384,-21.0
